 NI CAN NI-CAN LIN NI-XNET XNET FLEXRAY NI 845X NI-845X I2C SPI NI 9852 NI 9853 NI 9881 NI 8531 NI 8472 NI 8473 PCI-CAN PXI 8460 PXI 8461 PXI 8464 PXI 8476 NI 9860 NI 9861 NI 9862 NI 9866 PCI-8511 PCI-8512 PCI-8513 PCI-8516 PCI-8517 PXIe-8510 PXI-8511 PXI-8512 PXI-8513 PXI-8516 PXI-8517 USB 8502 USB-8451 USB-8452 IVN-8561 I2C/SPI ISO 11898 J1939 ECU CAN_L CAN_H FAULT TOLERANT PROTOCOL BUS ARBITRATION ID CAN FRAME RTR REMOTE TRANSFER REQUEST CRC Cyclic Redundancy Check  Acknowledgment Bit  ACK PCMCIA-CAN PCI-CAN TRANSCIEVER CABLE PXI-CAN HS LS Controller Area Network  Local Interconnect Network XNET BUS MONITOR CAN DEVICE SIMULATOR TRC-8542 TRC-8543 TRC-8546 SINGLE TERMINATION BREAKOUT BOX OBD-II ECU Measurement and Calibration Toolkit Automotive Diagnostic Command Set Transport Protocol Volkswagen TP 2.0 Diagnostics over IP KWP2000 DB9 PDU Stream Payload Database editor REMOTE FRAME FIBEX FAULT-TOLERANT Single Wire,CAN
 NI-9202 NI-9218 NI-9225 NI-9227 NI-9229 NI-9230 NI-9231 NI-9232 NI-9233 NI-9235 NI-9236 NI-9237 NI-9238 NI-9239 NI-9242 NI-9244 NI-9247 NI-9250 NI-9251 NI-9260 NI-9469 NI-9775 NI-9246 FD-11603 FD-11613 FD-11637,CM C Series
 Calibration Executive Cal Exec CalExec CALIBRATION EXEC,Calibration
 Counter/Timer Counter PCI6601 PCI6602 PCI6624 PCIe6612 NI 6601 NI 6602 NI 6624 NI 6612 NI 6602 NI  PXI6624 PXIe6612 PXIe6614 NI 6614 NI 6608,CounterTimer
 DAQEXPRESS DAQ EXPRESS,DAQExpress
 DAC Navigator TDM DAT LVM DATAFINDER Data Portal Data Stores 2D axis system Bode Orbit Contour lines Cascade Map 3D model Graphic Video Polar pattern matching FFT order tracking circle regression waterfall plot crash analysis toolkit DAC kit DAC bundle Chart wizard Calculator Calculation manager Recording mode Script DataPlugin DFT curve fitting curve smoothing NoValue Matrix Triplet Convex Hull VISUAL Unit Catalog report DIAdem Visualization .DAT .STL .WRL DAT STL WRL DIAdem Connectivity Vis DIAdem,DIAdem
 NI 435X NI DMM DMM PXIE-4082 PXIE-4081 PXIE-4080 PXI-4071 PXI-4072 PXI-4070 PXI-4065 PXI-4022 PCI-4070 PCI-4065 PCIe-4065 USB-4065 PCMCIA-4050 1394-4351 CB-27 CB-68T DAQCard-4050 DAQCard-4350 DAQPad-4060 DAQPad-4350 PCI-4060 PCI-4350 PCI-4351 PXI-4351 PXI-4022 TBX-68T TC-2190 USB-4065 USB-4350 NI-435X NI-DMM DIGITAL MULTIMETERS (DMMS) FLEXDMM NIDMM DMM SOFT FRONT PANEL,DMM
 NI-9234 NI 9234 DYNAMIC SIGNAL ANALYZERS (DSA) AND VIBRATION SENSOR SUITE DSA PCI 4451 PCI-4451 USB 4431,DSA HW
 USB-6501 USB-6509 USB-6525 PCI-6503 PCI-6509 PCI-6510 PCI-6511 PCI-6512 PCI-6513 PCI-6514 PCI-6515 PCI-6516 PCI-6517 PCI-6518 PCI-6519 PCI-6520 PCI-6521 PCI-6527 PCI-6528 PCI-DIO-96 PXI-6508 PXI-6509 PXI-6511 PXI-6512 PXI-6513 PXI-6514 PXI-6515 PXI-6521 PXI-6527 PXI-6528 PXI-6529 AT-DIO-32HS DAQCard-6533 DAQCard-DIO-24 PC-DIO-24 PC-DIO-96 AT-DIO-32F BNC-2810 DAQCard-ER-8 DAQPad-6507 DAQPad-6508 DAQPad-6533 MC-DIO-24 MC-DIO-32F NB-DIO-24 NB-DIO-32F NB-DIO-96 PC-ER-8/16 PC-OPDIO-16 PCI-6504 PCI-6525 PCI-6526 PCI-6810 PCMCIA-6830 PXI-6504 PXI-6507 PXI-6525 PXI-6526 PXI-6810 DIGITAL INPUT/OUTPUT NI 6501 NI 6509 NI 6525 NI 6503 NI 6509 NI 6510 NI 6511 NI 6512 NI 6513 NI 6514 NI 6515 NI 6516 NI 6517 NI 6518 NI 6519 NI 6520 NI 6521 NI 6527 NI 6528 NI 6508 NI 6509 NI 6511 NI 6512 NI 6513 NI 6514 NI 6515 NI 6521 NI 6527 NI 6528 NI 6529 NI 6504 NI 6525 NI 6526 NI 6810 NI 6504 NI 6507 NI 6525 NI 6526 NI 6810,Digital_IO
 FIRST FRC ROBORIO FTC CAPTAIN TEAM SCHOOL Competition,FIRST (NIC Only)
" COMPACT FIELDPOINT FIELDPOINT FIELDPOINT FIELDPOINT FIELDPOINT FIELDPOINT FIELDPOINT FIELDPOINT FIELDPOINT FIELDPOINT FIELDPOINT FIELDPOINT FIELDPOINT FIELDPOINT FP CFP cFP-2000 cFP-2010 cFP-2020 cFP-2100 cFP-2110 cFP-2120 cFP-2200 cFP-2210 HELLO NI,  I WAS TASKED WITH CONFIRMING THE ACCURACY OF A CFP-AI-118 ATTACHED TO A CFP-2220.  THE SPECIFICATION LISTS A TYPICAL ACCURAY AND A WARRANTED ACCURCY FOR BOTH % OF READING AND % OF FULL SCALE.  THESE SPECS ARE ALSO GIVEN FOR EACH RANGE SETTING FOR THE DEVICE.  I USED A FLUKE CALIBRATOR AND WORKED MY WAY THROUGH THE RANGES TAKING DATA AT THE EXTREMES OF FULL SCALE.  I AM ATTACHING MY RESULTS AS A SPREADSHEET.  MY QUESTION IS WHY IS THE % OF FULL SCALE FAILING WHEN THE % OF READING PASSES?  THE HIGHER RANGES ALL FAIL IN THE % OF FULL SCALE WHILE ALL THE % OF READINGS PASS.  NOT ONLY DOES THE % OF READING PASS BUT IT ALSO CONFIRMS THE TYPICAL ACCURACIES.  SO, HOW DO YOU CALCULATE THE % OF FULL SCALE?  MY FORMULA IS ((ACTUAL-READING)/FULL SCALE)* 100.  AM I MISSING SOME CALCULATION HERE? I DID THIS IN LAB CONDITIONS, WAITED 1 HOUR FOR WARM UP, ETC.  YOU CAN SEE BY THE DATA I TOOK, THAT THE ERROR IN % OF READING WAS ALL GOOD SO WHY IS IT FAILING % OF FULL SCALE?  FOR YOUR RESPONSE, MIKE MARTINO, NORTHROP GRUMMAN NONE  FIELDPOINT cFP-AI-100 cFP-AI-102 cFP-AI-110 cFP-AI-111 cFP-AI-112 cFP-AI-118 cFP-AIO-600 cFP-AIO-610 cFP-AO-200 cFP-AO-210 cFP-BP-4 cFP-BP-8 cFP-CB-1 cFP-CB-2 cFP-CB-3 cFP-CB-4 cFP-CB-11 cFP-CTR-500 cFP-CTR-502 cFP-DI-300 cFP-DI-301 cFP-DI-304 cFP-DI-330 cFP-DIO-550 cFP-DO-400 cFP-DO-401 cFP-DO-403 cFP-DO-410 cFP-PG-522 cFP-PWM-520 cFP-QUAD-510 cFP-RLY-421 cFP-RLY-423 cFP-RLY-425 cFP-RTD-122 cFP-RTD-124 cFP-SG-140 cFP-TC-120 cFP-TC-125 cFP-1804 cFP-1808 FP-1000 FP-1001 FP-1100 FP-1300 FP-1600 FP-1601 FP-2000 FP-2010 FP-2015 FP-AI-100 FP-AI-102 FP-AI-110 FP-AI-111 FP-AI-112 FP-AI-C FP-AI-V FP-AIO-600 FP-AIO-610 FP-AO-200 FP-AO-210 FP-AO-C FP-AO-V FP-CTR-500 FP-CTR-502 FP-DI-300 FP-DI-301 FP-DI-330 FP-DI-AC FP-DI-DC FP-DIO-550 FP-DO-400 FP-DO-401 FP-DO-403 FP-DO-410 FP-DO-AC FP-DO-DC FP-ENC1 FP-PG-522 FP-PWM-520 FP-QUAD-510 FP-RLY-420 FP-RLY-422 FP-RTD-122 FP-RTD-124 FP-RTD-PT FP-SG-140 FP-TB-1 FP-TB-2 FP-TB-3 FP-TB-10 FP-TC-120 FP-TC-J FP-TC-K FP-TC-T MOXA AWK 3121",FieldPoint
