Actual SR Type,Predicted,Data
CAN,CAN,"I'M PROGRAMMING A NUMONYX M25PX16 (HTTP://MEDIA.DIGIKEY.COM/PDF/DATA%20SHEETS/MICRON%20TECHNOLOGY%20INC%20PDFS/M25PX16.PDF) VIA SPI AND THE DEVICE FEATURES TWO INTERESTING MODES: DUAL OUTPUT FAST READ AND DUAL INPUT FAST PROGRAM. THESE MODES ALLOW THE DEVELOPER TO USE BOTH THE SDI AND SDO PINS SIMULTANEOUSLY TO SHIFT DATA ONTO THE DEVICE. HOWEVER, USING THE NI-845X TOOLKIT, I HAVEN'T BEEN ABLE TO FIND A WAY THAT I MIGHT BE ABLE TO REPURPOSE THE OPPOSING PIN DURING THESE INSTRUCTIONS - IS IT POSSIBLE WITH THE TOOKIT? I UNDERSTAND THAT IT'S AN ODD USE CASE, AND PROBABLY AN UNEXPECTED ON AT THAT, BUT CURRENTLY I HAVE A TEST SYSTEM THAT TAKES 36 MINUTES TO PROGRAM A BATCH OF UUTS (WE'RE CURRENTLY LIMITED TO ONE USB-8451) - IT COULD BE EXTREMELY VALUABLE TO DOUBLE OUR BANDWIDTH. PLEASE LET ME KNOW IF THERE'S ANYTHING I CAN CLARIFY. OTHER  CAN, FLEXRAY, LIN AND I2C/SPI"
Calibration,SCXI,"WHEN ATTEMPTING TO CALIBRATE A SCXI-1102 WITH SCXI-1300 TERMINAL BLOCK ATTACHED (CALIBRATION EXECUTIVE 3.4.1), THE CALIBRATION PROCEDURE BEGINS SUCCESSFULLY, AND AFTER SETTING UP THE FLUKE 5700A FOR THE FIRST TEST (98MV), THE MULTIMETER (AGILENT 34401A) ON THE SAME GPIB BUS NEVER REPORTS A READING. ALL EQUIPMENT BEING USED IS THE RECOMMENDED EQUIPMENT IN THE PROCEDURE. TWO SEPARATE 34401A'S WERE USED AND BOTH DID NOT REPORT BACK ANY VOLTAGE. CALIBRATION EXECUTIVE  SCXI"
Calibration,Calibration,WE ARE LOOKING AT UPGRADING TO 3.5.  CAN I GET A QUAOTE AND DELIVERY ESTIMATEERIC MILLER CALIBRATION EXECUTIVE  
Calibration,Calibration,"CURRENTLY WE HAVE CALIBRATION EXECUTIVE 3.2.2 AND LOOKING INTO EXPANDING MORE CALIBRATION OF NI PXI CARDS THE COMPANY HAS FOR ENGINEERING SUPPORT. THE CURRENT LIST OF ITEMS THAT CAN BE DONE WITH VERSION 3.2.2 IS LIMITED. WE ARE CURRENTLY EVALUATING LABVIEW AS A MEANS TO SUPPORT FOR SOME OF THE ITEMS THAT ARE NOT SUPPORTED BY CALIBRATION EXECUTIVE. BY UPGRADING TO VERSION 3.4 WHAT ARE THE ITEMS THAT ARE NOT COVERED WITH VERSION 3.2.2 OF CALIBRATION EXECUTIVE THAT CAN BE DONE WITH 3.4? IF WE DO GO WITH LABVIEW ARE THERE ANY PRE-PACKAGED CALIBRATION SOLUTIONS FOR CALIBRATION OF NI PXI AND PXIE CARDS? CALIBRATION EXECUTIVE  PXI CONTROLLERS, CHASSIS, AND MXI"
Calibration,RF,"WHILE DOING TESTING OF A PXI-5650 THE FOLLOWING ERROR OCCURRED.  VI PATH: C:\PROGRAM FILES\NATIONAL INSTRUMENTS\CALIBRATION EXECUTIVE\INSTRUMENTDRIVERS\LABVIEW\SPECAN\HP8563E\CEX_INSTR_LABVIEW_SPECAN_HP8563E_SET_TRACEAVERAGING.VIAT STEP VERIFY SINGLE SIDEBAND PHASE NOISE POSSIBLE REASON(S): LABVIEW:  VI REFERENCE TYPE DOES NOT MATCH VI CONNECTOR PANE. CAN YOU PLEASE HELP ME. WE JUST UPGRAGED TO VERSION 3.4 I'VE ATTACHED A PICTURE WITH THE TEST AND ERROR. CALIBRATION EXECUTIVE  PXI CONTROLLERS, CHASSIS, AND MXI"
CAN,CAN,"I'M TRYING TO WRITE THE SCRIPT FOR USING THE NI-USB-8451 TO READ SPI DATA FROM A PAIR OF HONEYWELL PRESSURE TRANSDUCERS.  SINCE THESE DEVICES ARE READ ONLY (I.E. THEY OUTPUT DATA AS SOON AS A THE CLOCK SCLK IS APPLIED, I WAS TRYING TO USE THE SPI STREAMING API CALLS IN LABVIEW, RATHER THAN THE HIGHER LEVEL CALLS.  THE NON-STREAMING WRITE/READ VI REQUIRES, AS I UNDERSTAND IT, AN ADDRESS TO BE WRITTEN BEFORE A READ CAN TAKE PLACE, A REQUIREMENT THAT IS NOT NEEDED IN MY SCENARIO. HOWEVER, WHEN I TRY TO INVOKE THE SPI STREAM START COMMAND, I'M GETTING AN -301713 ERROR, AND UPON FURTHER INVESTIGATION, I'VE SEEN A COUPLE OF COMMENTS THAT SUGGEST THAT THE SPI STREAM APIS ARE INTENDED FOR USE ONLY WITH THE 8452.  HOWEVER, I'VE FOUND NO DEFINITIVE STATEMENT ON THE INABILITY TO USE THIS API WITH THE 8451, SOMETHING I THOUGHT NI WOULD HAVE BEEN MADE BLATANT IN THE DOCUMENTATION IF IT WERE THE REALLY CASE. SO, CAN THE SPI STREAM VIS BE USED WITH THE 8451?  IF SO, COULD YOU REVEAL ANY ASSISTANCE ON WHAT THE ERROR CODE I'M SEEING INDICATES THE PROBLEM MIGHT BE WITH MY USAGE OF THE SPI STREAMING START FUNCTION? ! LABVIEW  OTHER"
CAN,CAN,"HI, I WOULD LIKE TO KNOW THE COST TO RMA A PXI-8464 CAN CARD TO EXCHANGE THE J2 CONNECTOR FOR THE XJ4 CONNECTOR SO THAT I CAN INSTALL THE CARD IN MY PXIE HYBRID COMPATIBLE CHASSIS. FOR BACKGROUND, I HAD ALREADY BEEN WORKING WITH AARON ORBITALS WITH THE FOLLOWING SR# 7347560. HE SAID THIS WAS POSSIBLE. ,RON LABVIEW  CAN, FLEXRAY, LIN AND I2C/SPI"
CAN,CAN,"I NEED MORE OF THE COMBICON SCREW TERMINAL BLOCK  SHOWN AS ITEM #3 IN FIGURE 3-2 IN THE NI-8451 USER MANUAL. HOW CAN I FIND WHAT THE EXACT PART NUMBER IS SO THAT I CAN ORDER IT FROM SOMEWHERE LIKE DIGIKEY? I KNOW THAT IT IS A COMMON TERMINAL BLOCK, I JUST THOUGHT IT WOULD SAVE ME TIME BY JUST GETTING THE PART NUMBER FROM NI. NONE  CAN, FLEXRAY, LIN AND I2C/SPI"
CAN,CAN,"ONE OF MY USB-8451 DEVICES IS NOT RECOGNIZED WHEN I PLUG IT INTO A USB PORT AND THE LED NEXT TO THE CONNECTOR DOES NOT LIGHT.  I CHECKED MAX AND IT DOES NOT SEE THIS PARTICULAR DEVICE.  THE SERIAL NUMBER IS 1574F10. LABVIEW  CAN, FLEXRAY, LIN AND I2C/SPI"
CAN,LabWindows_CVI,PLEASE PROVIDE MECHANICAL DIMENSIONS FOR USB-8451 LABWINDOWS/CVI  OTHER
CAN,DSA HW,"HI FOLKS,YOUR WEB LINK TO THE USB-8451 OEM SPECIFICATIONS IS BROKEN.  COULD YOU PLEASE SEND ME A COPY IN PDF?   A BUNCH.YOU MIGHT WANT TO FIX THAT. BEST REGARDS,ROB NONE  MULTIFUNCTION DAQ (AND NI ELVIS)"
